Status,Company,Role,Location,Source,Attendance,Application,Type,Phone call,1st interview,2nd interview,3rd interview,Proposition,Final answer,URL
Applied,Hespérie Conseil,Data Scientist,Paris,Carrer Site,,05/09/2023,Spontaneous,,,,,,,
Applied,ShoWhere,Data Analyst,France,LinkedIn,Remote,05/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3712578281
Rejected,BearingPoint,Data Scientist,Paris,Carrer Site,Hybrid,05/09/2023,Offer,,,,,,12/09/2023,https://carrieresfrance.bearingpoint.com/jobs/2129739-data-scientist-products-data-h-f/96b6ca83-d630-4b1d-97d3-0e7a30ea53b3
Applied,Keyrus,Data Analyst,Aix-en-Provence,Pole emploi,,06/09/2023,Offer,,,,,,,
Applied,PolyConseil,Data Scientist,Paris,Pole emploi,,06/09/2023,Offer,,,,,,,https://candidat.pole-emploi.fr/offres/recherche/detail/160WNCC
Rejected,Sia Partners,AI,Paris,Carrer Site,,06/09/2023,Offer,,,,,,11/09/2023,https://www.sia-partners.com/en/career/machine-learning-engineer-hf
Rejected,Sia Partners,Data Engineer,Paris,Carrer Site,,06/09/2023,Offer,,,,,,31/10/2023,https://www.sia-partners.com/en/career/data-engineer-hf
Rejected,Sia Partners,Data Scientist,Paris,Carrer Site,,06/09/2023,Offer,,,,,,11/09/2023,https://www.sia-partners.com/en/career/consultante-data-science
Rejected,Sia Partners,Data Scientist,Montréal,Carrer Site,,06/09/2023,Offer,,,,,,31/10/2023,https://www.sia-partners.com/en/career/conseillerere-en-data-science
Applied,Sophia Engineering,Data Scientist,Cagnes-sur-Mer,Apec,,06/09/2023,Offer,,,,,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/171899451W
Rejected,Shom,Data Scientist,Brest,Apec,,06/09/2023,Offer,,,,,,29/09/2023,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/171884980W
Applied,Aquila,AI,Montrouge,Apec,,07/09/2023,Offer,,,,,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/171891125W
Applied,Fed Finance,Data Scientist,Nanterre,Cadremploi,,07/09/2023,Offer,,,,,,,https://www.cadremploi.fr/emploi/detail_offre?offreId=156344197860991148
Applied,Unédic,Data Analyst,Paris,Apec,,07/09/2023,Offer,,,,,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/171577137W?xtor=AL-406
Rejected,Business & Decision,Data Scientist,Toulouse,Apec,,07/09/2023,Offer,,,,,,20/09/2023,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/171901035W?xtor=AL-406
Applied,,Data Engineer,Paris,Pole emploi,,07/09/2023,Offer,,,,,,,https://candidat.pole-emploi.fr/offres/recherche/detail/161CMTP
Applied,adversio,Data Scientist,Puteaux,Apec,,07/09/2023,Offer,,,,,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/171870146W?xtor=AL-406
Rejected,IDEMIA,AI,Osny,Carrer Site,,07/09/2023,Offer,,,,,,19/09/2023,https://careers.idemia.com/job/OSNY-Ing%C3%A9nieur-Recherche-Deep-Learning-Osny-95520/868674201
Applied,StereoLabs,AI,Paris,Carrer Site,,07/09/2023,Offer,,,,,,,https://careers.stereolabs.com/o/ingenieur-deep-learning-3d-computer-vision-2-5
Applied,StereoLabs,AI,Paris,Carrer Site,,07/09/2023,Offer,,,,,,,https://careers.stereolabs.com/o/ingenieur-computer-vision-2
Rejected,IDEMIA,AI,Courbevois,Carrer Site,,07/09/2023,Offer,,,,,,19/09/2023,https://careers.idemia.com/job/Courbevoie-Ing%C3%A9nieur-Recherche-Deep-Learning-92400/978432601/
